,Boat Type,Manufacturer,Condition,Year Built,Length,Width,Material,Number of views last 7 days,Price in usd,Country
0,Motor Yacht,Rigiflex power boats,new boat from stock,2017,4.0,1.9,GRP,226,3704.07,Switzerland
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,3734.3,Germany
2,Sport Boat,Marine power boats,new boat from stock,0,3.69,1.42,Aluminium,124,4184.700000000001,Switzerland
3,Sport Boat,Pioner power boats,new boat from stock,2020,3.0,1.0,GRP,64,3626.0000000000005,Denmark
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,3636.9300000000003,Germany
5,Sport Boat,Linder power boats,new boat from stock,0,4.03,1.56,Aluminium,132,4051.5000000000005,Switzerland
8,Fishing Boat,Crescent power boats,new boat from stock,2019,3.64,1.37,GRP,45,3566.3100000000004,Germany
9,Pontoon Boat,Whaly power boats,new boat from stock,2018,4.35,1.73,GRP,180,3531.0,Italy
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,3885.0000000000005,Switzerland
11,Fishing Boat,Marine power boats,new boat from stock,0,4.13,1.41,Aluminium,145,3862.8,Switzerland
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,3745.0,Italy
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,5106.0,Switzerland
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,4995.0,Switzerland
15,Deck Boat,Buster power boats,"new boat from stock,Unleaded",0,3.88,1.49,Aluminium,263,4884.0,Switzerland
16,Sport Boat,Linder power boats,new boat from stock,0,4.31,1.64,Aluminium,462,4861.8,Switzerland
18,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,265,4280.0,France
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,4278.93,Germany
21,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",0,3.78,1.71,GRP,198,4736.370000000001,Switzerland
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,4205.1,Germany
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,4173.0,Germany
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,4662.0,Switzerland
26,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",0,4.0,1.5,GRP,295,4662.0,Switzerland
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,4473.3,Switzerland
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,4412.25,Switzerland
30,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,4384.5,Switzerland
32,Sport Boat,Pioner power boats,new boat on order,0,3.81,1.65,GRP,105,4317.900000000001,Switzerland
33,Sport Boat,Linder power boats,new boat from stock,0,3.55,1.46,Aluminium,120,4273.5,Switzerland
